-0.053 1
0.521 1
-0.927 1
-4.114 1
-0.64 1
3.499 1
-0.234 1
0.967 1
1.803 1
-1.135 1
-0.677 1
1.442 1
-1.032 1
4.942 1
3.427 1
-2.579 1
-1.378 1
-2.067 1
-3.338 1
-2.615 1
-0.869 1
0.52 1
-1.004 1
0.657 1
2.361 1
2.356 1
-3.162 1
0.648 1
-1.476 1
1.994 1
3.836 1
1.881 1
1.088 1
-2.972 1
-3.74 1
-2.518 1
1.512 1
1.79 1
2.947 1
-3.192 1
0.452 1
-2.47 1
-2.388 1
-3.29 1
1.023 1
-1.87 1
-2.32 1
1.517 1
2.35 1
-1.836 1
4.776 2
1.117 2
0.59 2
2.813 2
-1.633 2
-1.389 2
-0.729 2
-1.364 2
-3.476 2
2.215 2
-1.585 2
1.279 2
-2.632 2
-4.856 2
-0.74 2
0.375 2
0.09 2
3.306 2
0.094 2
0.417 2
-3.453 2
-0.769 2
4.139 2
0.534 2
-1.412 2
0.273 2
-2.113 2
1.163 2
0.374 2
1.099 2
-3.449 2
0.135 2
-5.129 2
4.898 2
-5.858 2
2.502 2
3.223 2
2.287 2
-0.081 2
-0.082 2
0.131 2
-3.766 2
-4.107 2
-0.646 2
-0.09 2
-1.695 2
-0.912 2
-0.473 2
3.67 2
-0.363 2
